from,to,From.Name,Type,To.Name,weight
n01,n02,1.Baselines_status,Direct.cause-effect,2.Detect_characterise change,1
n09,n03,8.Skill acquisition,Direct.cause-effect,3.Expand_diversify_localise mon community,3
n10,n03,9.International cooperation,Direct.cause-effect,3.Expand_diversify_localise mon community,1
n02,n04,2.Detect_characterise change,Direct.cause-effect,4.Assess drivers of change,10
n03,n04,3.Expand_diversify_localise mon community,Direct.cause-effect,4.Assess drivers of change,1
n03,n05,3.Expand_diversify_localise mon community,Direct.cause-effect,4a. Synthesise and standardise disparate datasets_info,1
n02,n06,2.Detect_characterise change,Direct.cause-effect,5.Project futures,1
n07,n06,6.Understanding and theory,Direct.cause-effect,5.Project futures,2
n02,n07,2.Detect_characterise change,Direct.cause-effect,6.Understanding and theory,3
n03,n07,3.Expand_diversify_localise mon community,Direct.cause-effect,6.Understanding and theory,1
n04,n07,4.Assess drivers of change,Direct.cause-effect,6.Understanding and theory,1
n05,n07,4a. Synthesise and standardise disparate datasets_info,Direct.cause-effect,6.Understanding and theory,2
n12,n07,Assess linkages between system components,Direct.cause-effect,6.Understanding and theory,1
n02,n08,2.Detect_characterise change,Direct.cause-effect,7.Disseminate_provide acces to information,2
n03,n09,3.Expand_diversify_localise mon community,Direct.cause-effect,8.Skill acquisition,4
n08,n09,7.Disseminate_provide acces to information,Direct.cause-effect,8.Skill acquisition,3
n03,n10,3.Expand_diversify_localise mon community,Direct.cause-effect,9.International cooperation,4
n08,n10,7.Disseminate_provide acces to information,Direct.cause-effect,9.International cooperation,1
n01,n13,1.Baselines_status,Direct.cause-effect,B.11.Management_policy making,8
n02,n13,2.Detect_characterise change,Direct.cause-effect,B.11.Management_policy making,11
n03,n13,3.Expand_diversify_localise mon community,Direct.cause-effect,B.11.Management_policy making,2
n04,n13,4.Assess drivers of change,Direct.cause-effect,B.11.Management_policy making,9
n06,n13,5.Project futures,Direct.cause-effect,B.11.Management_policy making,2
n07,n13,6.Understanding and theory,Direct.cause-effect,B.11.Management_policy making,4
n08,n13,7.Disseminate_provide acces to information,Direct.cause-effect,B.11.Management_policy making,1
n03,n15,3.Expand_diversify_localise mon community,Direct.cause-effect,B.13.Learning,3
n08,n15,7.Disseminate_provide acces to information,Direct.cause-effect,B.13.Learning,7
n09,n15,8.Skill acquisition,Direct.cause-effect,B.13.Learning,3
n10,n15,9.International cooperation,Direct.cause-effect,B.13.Learning,1
n02,n16,2.Detect_characterise change,Direct.cause-effect,B.14.Inform research questions,3
n12,n16,Assess linkages between system components,Direct.cause-effect,B.14.Inform research questions,1
n09,n17,8.Skill acquisition,Direct.cause-effect,B.15.Effective governance,1
n01,n18,1.Baselines_status,Direct.cause-effect,B.16.Zero hunger,1
n05,n18,4a. Synthesise and standardise disparate datasets_info,Direct.cause-effect,B.16.Zero hunger,1
n08,n18,7.Disseminate_provide acces to information,Direct.cause-effect,B.16.Zero hunger,3
n13,n18,B.11.Management_policy making,Direct.cause-effect,B.16.Zero hunger,6
n06,n19,5.Project futures,Direct.cause-effect,B.17.Life on land and below water,2
n08,n19,7.Disseminate_provide acces to information,Direct.cause-effect,B.17.Life on land and below water,1
n13,n19,B.11.Management_policy making,Direct.cause-effect,B.17.Life on land and below water,10
n20,n19,B.18.Industry innovation and infrastructure,Direct.cause-effect,B.17.Life on land and below water,3
n13,n20,B.11.Management_policy making,Direct.cause-effect,B.18.Industry innovation and infrastructure,6
n03,n19,3.Expand_diversify_localise mon community,Direct.cause-effect,B.17.Life on land and below water,1
